Actual,Predicted
168.020004,168.72449911000004
81.230003,82.10659997000005
112.32,116.08530044000001
127.589996,127.64810078000006
119.620003,120.78050122999997
154.210007,154.78389756
148.910004,149.94309818999997
126.190002,126.07800009000005
117.470001,117.53689854000005
125.739998,125.96410053999993
115.379997,116.55570103
167.119995,171.69630061
141.630005,141.59579839
169.559998,167.78839824999991
115.599998,115.02090033999997
119.669998,117.83250045000004
132.949997,138.97370240000004
170.399994,169.70770056
159.369995,159.71260235000014
173.529999,156.03169925000003
154.720001,155.11520009000003
128.119995,125.01880037999996
177.720001,175.93539955999987
157.190002,157.6972029300001
125.309998,125.13810042000001
93.400002,93.67479979999989
76.790001,77.87700023999993
119.690002,120.74910015999994
118.989998,119.11899936999993
167.389999,167.54289966000005
87.5,88.21010024999998
124.980003,125.28530038
91.230003,91.18700109999997
115.489998,117.67689991999994
120.949997,121.10839891999996
133.809998,136.53060095999987
116.690002,115.60830084999998
113.809998,115.42870094999995
133.580002,147.67220032999995
105.970001,107.39110110000001
105.120003,104.63790227999999
87.959999,87.19469803999996
126.82,126.46580028000008
116.860001,117.87010018999992
159.259995,153.66439919000004
119.459999,119.72669991999993
109.160004,108.19630038
108.620003,107.91419841999996
93.269997,93.25290098000009
127.160004,127.34949685999996
72.260002,75.08670008000001
113.470001,113.51839892999993
119.68,121.32500028999998
109.139999,111.30039910999996
119.309998,118.89859902999987
120.050003,120.81749916999988
159.889999,159.70850027999998
161.490005,167.64240109
146.740005,146.87739682999978
85.809998,85.81009851999993
93.709999,94.51490050000005
85.550003,86.7658988799999
91.029999,90.53770018999998
118.489998,119.00560081000003
126.449997,126.39220090000006
126.980003,127.54910035999997
171.699997,168.59920003
122.400002,122.32469924999998
116.410004,117.5954988999999
97.959999,98.17890077000004
169.630005,167.78800156000005
142.639999,143.15609778000007
131.809998,131.65530203999998
121.360001,121.23720221999993
124.0,121.3022990599999
119.699997,119.97310037999995
113.889999,114.56000167999998
118.919998,118.14330004999987
105.639999,107.18710090999997
127.669998,128.02610119999997
114.32,113.91879992999992
107.309998,107.32739969000001
114.82,117.12600013999989
119.230003,119.80469880999993
86.860001,89.22710046999993
87.010002,88.24909858999997
147.729996,146.3459022400002
128.199997,127.09410044000009
113.260002,113.40360035000003
110.82,109.97829843
107.360001,108.27689899000013
74.220001,77.33469916999996
172.940002,169.71900144000006
114.099998,113.99059902000016
121.650002,121.77219883000002
129.110001,127.44930152
156.770004,154.94039766000003
91.660004,91.87429958000004
133.479996,136.66160183999992
161.029999,159.34770328
128.470001,125.45590077999992
125.75,125.62060090000011
132.289993,130.5122018599999
114.019997,114.94950145000001
